Month	TotAdvExp	NewPI	NewWC	AdvExp6
1	9221.5	7	26	*
2	6684.0	9	33	*
3	200.0	12	18	*
4	14546.8	27	15	*
5	5170.1	9	19	*
6	5810.3	13	26	*
7	5816.2	11	24	41.633
8	8236.4	7	22	38.227
9	-2089.6	13	12	39.780
10	29282.2	7	15	37.490
11	9193.6	9	21	52.226
12	9499.2	8	24	56.249
13	11128.8	18	25	59.938
14	9057.6	9	19	65.251
15	13604.5	25	12	66.072
16	14411.8	26	33	81.766
17	13724.3	27	32	66.895
18	13419.4	12	21	71.426
19	17372.3	14	18	75.346
20	6296.4	5	25	81.590
21	13191.6	22	12	78.829
22	26798.8	15	7	78.416
23	18611.0	12	22	90.803
24	829.5	18	27	95.689
25	16976.5	20	25	83.100
26	14077.0	38	26	82.704
27	24791.8	13	28	90.484
28	9691.3	18	31	102.085
29	28948.3	21	40	84.977
30	21373.5	7	39	95.314
31	9675.3	16	41	115.858
32	33213.6	12	48	108.557
33	19859.8	15	28	127.694
34	10475.3	18	29	122.762
35	24790.8	30	20	123.546
36	36660.9	12	27	119.388
37	8812.5	30	26	134.676
38	41817.8	20	45	133.813
39	27399.3	19	30	142.417
40	25723.1	29	33	149.957
41	16312.1	58	24	165.204
42	26332.8	42	40	156.726
43	60207.6	24	36	146.398
44	42485.4	47	29	197.793
45	35601.9	24	17	198.460
46	72071.5	14	13	206.663
47	12797.1	31	15	253.011
48	12310.5	26	16	249.496
